Transect,Species,Elev,Tree,Core,TreeID,Tag,Path identification,Site identification,YearLastRing,Sapwood,Tree height,Tree age,SectionHeight,User variable,RingCount,DataType,OffsetToNext,ImageName,Analysis Date Time,Acquisition Date Time,Modified Date Time,ImageSizeH V NBits Channel,CalibMethod XCal YCal EditedDendro,ScannerCamera Make Model Software,LensFocLength [35mm],PathBegX BegY EndX EndY Width,RingBoundary AutoMan Meth Precise,EarlywoodDef,DensActive Media Calib,DensNSteps MatDens Interpol SampleThick,DensStepsThick,DensStepsLightInt,DensStepsWoodDens,DiskArea,DiskPerim,DiskAvgDiam,DiskFormCoef,CompWoodArea,VoidArea,PathLength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,5N,A,5N-A,WA-TSHE-M-5N-A,,,2013,0,0,0,0,0,93,RINGWIDTH,1,WA-TSHE-M-5N-BOTH.tif,3/4/14 18:05,                   ,,1988 10082 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],147.0000 9801.0000 213.0000 1092.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,182.6176,3.348,3.82,2.203,1.868,1.956,2.202,2.651,2.964,2.916,1.351,1.295,1.681,2.054,2.186,1.901,1.619,1.854,1.801,1.387,1.548,2,1.989,1.426,1.984,1.696,2.027,1.948,1.3,1.409,2.157,1.931,1.27,2.225,1.617,1.518,2.006,1.42,1.199,0.746,1.241,1.031,1.419,1.93,1.622,0.696,1.146,1.379,1.193,1.287,1.48,1.674,1.556,1.871,2.064,1.745,1.98,1.54,0.895,2.822,2.3,1.601,1.269,0.837,1.141,0.794,0.956,0.848,1.562,1.187,0.812,0.587,1.787,1.561,1.255,1.832,1.24,1.436,1.248,0.642,1.569,1.78,1.818,1.339,2.123,2.63,3.066,2.408,3.42,3.912,3.909,4.169,4.488,2.356,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,5N,B,5N-B,WA-TSHE-M-5N-B,,,2013,0,0,0,0,0,95,RINGWIDTH,1,WA-TSHE-M-5N-BOTH.tif,3/4/14 18:05,                   ,,1988 10082 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1656.0000 8996.0000 1726.0000 270.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,184.6604,2.137,2.131,1.815,1.725,1.202,1.121,0.798,2.222,2.222,1.311,1.459,1.586,1.735,2.243,2.15,2.26,3.195,2.051,1.354,1.333,1.628,1.46,1.201,1.739,1.185,1.967,2.073,2.01,1.946,2.538,2.362,2.186,3.482,3.062,1.947,2.177,1.514,1.5,1.288,1.584,1.288,1.182,1.543,1.905,1.058,1.354,1.501,1.097,1.093,1.137,1.183,1.034,1.666,1.16,1.245,1.94,1.621,1.239,1.993,1.947,2.102,2.023,1.827,1.683,1.742,1.147,1.462,1.031,0.957,0.973,0.782,1.457,1.1,1.287,1.325,1.371,1.603,1.431,1.322,1.736,1.146,0.397,0.414,1.543,1.751,1.633,1.841,1.742,2.139,2.543,3.593,3.411,4.695,4.699,3.94,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,5C,A,5C-A,WA-TSHE-M-5C-A,,,2013,0,0,0,0,0,117,RINGWIDTH,1,WA-TSHE-M-5C-BOTH.tif,3/4/14 18:07,                   ,,1870 12661 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],170.0000 9906.0000 146.0000 364.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,199.7428,4.769,4.444,3.219,4.335,2.243,3.388,3.432,2.233,1.336,2.208,1.857,2.957,2.577,4.086,3.2,3.966,3.904,3.127,2.324,2.323,2.427,1.916,1.555,0.923,1.013,1.645,0.844,0.592,1.056,2.007,1.539,0.819,1.217,1.157,1.138,1.664,1.706,1.519,1.182,1.435,0.993,1.353,1.014,1.563,1.459,0.846,1.353,1.374,1.586,1.671,2.01,1.523,0.952,2.412,1.65,1.1,0.951,0.612,1.67,1.756,1.185,1.375,1.013,1.248,0.845,0.718,0.612,0.945,1.155,0.923,0.845,0.862,0.611,0.924,1.388,0.695,0.821,0.694,0.966,0.609,0.819,0.82,0.547,0.798,0.945,0.651,1.031,0.901,0.857,1.044,1.313,1.334,1.178,1.198,1.521,1.044,1.83,1.501,1.819,1.359,1.687,1.772,2.043,2.061,1.497,1.718,1.92,1.953,2.118,1.685,1.713,1.223,2.141,1.583,0.156,1.389,1.53,,
WA,TSHE,M,5C,B,5C-B,WA-TSHE-M-5C-B,,,2013,0,0,0,0,0,75,RINGWIDTH,1,WA-TSHE-M-5C-BOTH.tif,3/4/14 18:07,                   ,,1870 12661 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1664.0000 12516.0000 1544.0000 3332.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,194.3629,3.573,4.739,4.361,3.812,3.005,2.865,2.985,1.563,1.754,1.392,1.521,1.938,1.616,1.808,1.563,1.706,1.68,1.669,1.335,1.64,1.626,1.138,1.308,1.41,1.527,2.184,1.943,1.491,1.502,2.264,2.104,1.258,1.608,1.418,1.587,1.672,2.53,2.265,1.91,2.031,1.285,1.54,2.717,2.871,1.357,1.417,1.962,1.481,1.915,1.796,2.053,1.723,2.195,3.13,2.582,2.275,2.631,2.433,3.783,4.472,3.392,2.38,1.662,2.006,1.969,1.97,1.78,2.333,2.065,2.699,2.111,1.939,5.004,1.411,0.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,4N,A,4N-A,WA-TSHE-M-4N-A,,,2013,0,0,0,0,0,97,RINGWIDTH,1,WA-TSHE-M-4N-BOTH.tif,3/4/14 18:15,                   ,,2008 11578 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],219.0000 11247.0000 168.0000 333.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,221.9877,1.532,2.04,1.095,0.993,0.697,1.333,1.161,0.931,0.91,0.844,0.613,1.076,1.352,1.163,1.163,1.798,1.374,1.036,0.994,1.328,1.12,0.888,1.264,1.626,1.417,1.333,1.502,1.185,1.27,1.5,2.434,2.557,2.397,3.865,4.695,4.162,4.63,4.101,4.469,3.403,3.971,4.414,5.744,5.192,4.434,4.294,2.606,2.968,2.052,2.194,2.208,1.639,1.485,1.577,0.064,0.063,0.075,0.528,2.011,1.918,1.308,1.17,1.386,1.722,1.116,1.402,1.34,1.465,1.555,1.309,1.24,1.531,1.865,1.679,1.821,1.535,1.801,2.326,1.491,2.218,1.621,1.499,1.463,1.254,1.508,1.786,2.38,2.123,1.961,1.772,2.591,1.974,2.034,2.733,2.817,2.793,1.959,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,4N,B,4N-B,WA-TSHE-M-4N-B,,,2013,0,0,0,0,0,99,RINGWIDTH,1,WA-TSHE-M-4N-BOTH.tif,3/4/14 18:15,                   ,,2008 11578 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1698.0000 11340.0000 1806.0000 1296.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,210.9702,1.662,1.563,1.578,1.65,0.973,1.248,1.46,1.185,1.362,1.354,0.773,1.439,1.439,1.523,1.458,1.86,1.925,1.333,1.608,1.435,1.27,1.524,1.585,1.037,1.27,1.344,1.427,1.577,1.512,1.904,2.095,2.137,2.158,2.116,1.693,1.926,2.378,2.989,2.176,2.852,2.361,2.152,2.129,2.97,2.187,2.013,2.727,2.306,2.157,1.947,3.534,2.37,1.862,1.608,1.333,1.227,1.439,1.439,2.539,2.941,2.455,1.882,1.691,1.856,1.416,2.134,2.703,2.713,2.13,1.955,1.882,2.687,2.601,2.766,2.241,1.986,2.593,2.903,2.492,2.86,1.426,1.351,1.229,1.589,1.915,1.963,2.069,1.354,1.396,1.709,2.251,2.355,2.644,2.495,1.758,2.982,8.697,5.017,5.584,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,4C,A,4C-A,WA-TSHE-M-4C-A,,,2013,0,0,0,0,0,111,RINGWIDTH,1,WA-TSHE-M-4C-BOTH.tif,3/4/14 18:16,                   ,,2008 12031 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],244.0000 11872.0000 596.0000 300.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,244.9924,0.697,1.185,0.782,0.888,0.612,0.989,0.8,1.028,0.922,0.916,0.958,0.981,1.113,0.845,1.182,1.161,1.343,1.547,1.809,1.612,0.859,1.691,1.122,1.497,1.272,1.392,1.419,1.488,1.265,1.622,1.566,1.914,1.884,1.632,1.271,2.3,1.331,1.841,1.198,1.385,1.324,1.667,1.445,1.501,1.43,0.962,1.325,1.052,1.399,1.281,1.469,1.392,1.66,1.556,1.747,1.532,2.182,1.537,2.676,2.657,2.376,1.936,1.388,1.623,1.515,1.487,1.904,2.39,2.065,1.888,1.754,2.197,1.373,1.24,1.408,1.256,1.618,1.844,2.122,3.261,2.099,2.723,3.949,2.933,3.541,4.248,3.568,3.874,3.563,3.263,3.898,3.921,4.265,4.513,4.462,4.693,3.488,5.521,6.319,3.916,3.098,3.758,3.862,4.167,3.711,4.073,4.275,4.969,4.807,4.025,1.823,,,,,,,,
WA,TSHE,M,4C,B,4C-B,WA-TSHE-M-4C-B,,,2013,0,0,0,0,0,57,RINGWIDTH,1,WA-TSHE-M-4C-BOTH.tif,3/4/14 18:16,                   ,,2008 12031 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1716.0000 11604.0000 1701.0000 2436.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,193.2886,1.984,1.185,1.734,1.289,2.472,2.05,1.946,1.714,1.608,2.283,4.041,6.336,4.762,5.3,5.655,5.331,2.266,2.974,2.309,1.796,3.151,3.959,3.376,1.608,1.905,1.185,1.566,1.417,2.453,2.539,3.153,3.734,3.044,1.726,3.316,3.152,4.777,4.334,5.374,4.606,5.84,5.244,4.292,4.479,3.541,5.869,5.332,7.435,5.587,3.79,1.759,1.769,1.897,1.027,1.223,1.725,2.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,3N,A,3N-A,WA-TSHE-M-3N-A,,,2013,0,0,0,0,0,93,RINGWIDTH,1,WA-TSHE-M-3N-BOTH.tif,3/4/14 18:19,                   ,,2087 10141 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],441.0000 9444.0000 231.0000 249.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,194.6296,2.621,3.23,3.8,3.045,3.727,2.104,1.779,1.647,1.384,0.814,0.731,1.024,1.328,1.575,1.914,2.331,2.672,2.023,2.755,2.857,2.061,1.724,1.151,1.192,1.049,1.014,1.083,0.982,1.226,1.544,0.86,0.462,1.73,2.336,1.385,1.396,1.037,1.799,1.121,1.521,0.97,1.18,1.909,1.888,1.414,1.663,1.7,2.165,1.643,2.198,2.191,2.481,2.347,2.603,2.388,1.712,1.564,1.012,1.312,1.12,1.311,1.036,1.142,1.543,1.099,1.565,1.161,1.623,1.851,1.554,1.092,1.323,1.801,1.385,0.625,1.483,1.882,2.174,2.02,2.223,1.849,1.23,0.743,2.112,4.038,3.243,2.779,5.096,3.979,3.944,3.86,5.366,5.108,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,3N,B,3N-B,WA-TSHE-M-3N-B,,,2013,0,0,0,0,0,90,RINGWIDTH,1,WA-TSHE-M-3N-BOTH.tif,3/4/14 18:19,                   ,,2087 10141 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1887.0000 9999.0000 1605.0000 1149.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,185.8352,2.455,2.186,1.481,1.545,1.712,1.417,2.075,2.218,2.01,1.27,1.756,2.285,2.451,2.263,2.026,1.902,1.727,0.782,0.675,0.654,0.868,0.949,0.909,1.118,0.549,0.401,0.529,0.635,0.868,1.418,1.439,1.499,2.237,2.199,1.702,2.037,2.124,2.425,1.77,1.817,1.322,2.412,2.831,2.878,2.285,2.328,2.475,2.772,2.704,3.644,3.175,3.873,3.211,1.554,1.473,1.298,1.22,1.039,1.386,1.711,1.683,1.153,1.31,1.355,1.068,1.303,0.7,1.297,1.543,2.131,2.442,3.178,2.864,2.867,3.005,1.946,2.445,1.761,1.266,0.877,0.785,1.014,1.053,0.934,1.93,1.914,3.655,4.281,4.633,1.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,3C,A,3C-A,WA-TSHE-M-3C-A,,,2013,0,0,0,0,0,77,RINGWIDTH,1,WA-TSHE-M-3C-BOTH.tif,3/4/14 18:22,                   ,,1929 9195 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],312.0000 9020.0000 136.0000 196.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,186.7652,1.819,2.851,2.017,1.903,3.161,4.181,4.27,3.957,2.934,1.383,1.883,2.071,3.256,1.979,1.435,2.142,3.164,3.293,2.76,2.208,2.552,4.789,4.881,2.235,1.875,2.044,1.833,1.71,1.967,2.437,2.783,2.337,3.884,3.008,2.08,2.367,2.894,3.058,2.357,2.26,2.337,2.6,2.239,2.109,1.541,1.654,1.546,2.017,2.244,2.47,2.686,2.873,2.645,1.686,1.55,2.345,1.926,1.56,2.745,2.602,2.766,2.009,1.896,2.111,2.07,2.607,2.135,2.064,1.903,2.09,1.371,2.178,2.391,1.824,2.351,1.726,1.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,3C,B,3C-B,WA-TSHE-M-3C-B,,,2013,0,0,0,0,0,78,RINGWIDTH,1,WA-TSHE-M-3C-BOTH.tif,3/4/14 18:22,                   ,,1929 9195 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1764.0000 8120.0000 1598.0000 1768.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,134.4629,1.885,1.957,1.88,1.372,1.143,1.778,2.399,2.057,1.84,1.672,2.062,2.429,2.176,1.556,1.417,2.061,2.089,1.805,2.013,1.336,1.441,1.729,1.813,1.886,1.347,1.652,1.251,1.264,1.186,1.634,1.795,1.587,1.724,1.206,1.385,1.61,0.953,1.316,1.013,1.201,1.622,2.109,1.875,1.667,1.942,1.637,1.673,1.625,1.733,2.354,2.34,2.2,2.074,2.084,1.719,1.724,2.05,1.046,2.242,0.829,1.376,2.606,2.289,1.873,2.096,0.798,1.326,2.536,1.812,1.458,1.435,1.502,1.481,1.926,2.116,1.777,1.333,0.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,2N,A,2N-A,WA-TSHE-M-2N-A,,,2013,0,0,0,0,0,83,RINGWIDTH,1,WA-TSHE-M-2N-BOTH.tif,3/4/14 18:24,                   ,,2146 9215 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],222.0000 8085.0000 474.0000 414.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,162.4162,1.438,1.375,1.292,1.564,1.164,1.142,0.781,1.225,1.288,1.123,1.009,1.185,1.291,1.671,1.438,1.079,0.952,1.31,1.522,1.558,1.978,1.533,1.857,1.354,1.206,2.009,1.984,2.092,2.467,2.873,2.455,2.56,3.216,2.196,1.562,1.813,1.291,1.891,1.839,2.379,2.338,1.858,1.747,2.517,2.349,3.776,3.39,2.705,0.738,0.576,0.891,1.273,1.484,1.157,0.756,0.731,0.617,0.589,0.778,0.715,0.949,1.113,0.749,0.877,0.515,0.962,0.923,0.926,1.099,1.278,1.191,1.454,1.557,2.048,2.686,2.089,2.56,2.234,1.741,2.928,3.867,3.419,1.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,2N,B,2N-B,WA-TSHE-M-2N-B,,,2013,0,0,0,0,0,80,RINGWIDTH,1,WA-TSHE-M-2N-BOTH.tif,3/4/14 18:24,                   ,,2146 9215 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1698.0000 9138.0000 1984.0000 514.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,182.5957,1.655,1.606,2.076,1.885,1.512,1.84,1.479,1.333,1.142,0.879,0.854,1.248,1.627,1.965,2.365,3.268,4.455,4.192,4.569,4.333,5.454,5.268,4.105,2.772,2.116,2.307,2.03,2.232,2.462,2.67,2.661,2.869,3.473,1.898,1.444,1.851,1.972,2.072,2.582,3.322,3.473,4.081,3.844,4.217,4.154,5.364,5.489,4.872,4.131,1.795,0.962,0.967,0.863,0.926,0.842,0.821,1.267,1.378,1.363,0.843,0.718,0.887,0.887,0.929,1.055,1.586,1.1,0.864,0.97,1.036,0.825,1.184,1.032,1.542,1.943,1.849,2.777,3.322,2.071,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,2C,A,2C-A,WA-TSHE-M-2C-A,,,2013,0,0,0,0,0,66,RINGWIDTH,1,WA-TSHE-M-2C-BOTH.tif,3/4/14 18:58,                   ,,2225 11814 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],525.0000 11760.0000 189.0000 3234.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,179.5029,1.409,2.857,1.389,1.391,0.861,1.355,1.013,1.603,2.029,2.803,2.809,3.188,2.988,3.68,3,3.114,2.142,2.175,2.157,1.666,1.332,1.098,1.327,1.581,1.277,1.849,1.982,2.328,3.153,3.745,3.617,2.925,3.588,2.822,3.105,2.537,2.92,3.659,2.248,2.183,2.534,3.219,3.295,3.304,3.87,2.908,3.175,2.9,3.474,3.27,4.811,5.139,1.831,3.103,2.712,3.05,2.706,3.631,3.302,3.173,2.838,1.926,1.731,2.525,3.02,0.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,2C,B,2C-B,WA-TSHE-M-2C-B,,,2013,0,0,0,0,0,84,RINGWIDTH,1,WA-TSHE-M-2C-BOTH.tif,3/4/14 18:58,                   ,,2225 11814 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],1845.0000 9102.0000 1524.0000 87.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,182.1972,0.122,0.155,1.347,1.137,0.891,1.551,1.297,2.412,2.6,1.912,1.74,2.667,3.058,2.326,2.061,1.967,1.882,2.251,2.532,2.347,2.222,2.01,1.439,1.841,1.493,1.874,2.104,1.832,2.077,2.331,2.374,2.064,2.546,1.95,2.33,2.527,2.087,2.962,2.222,1.969,2.274,2.711,1.986,0.041,1.941,1.611,1.654,1.538,1.645,1.899,1.606,1.763,1.462,1.395,1.481,1.206,1.882,2.206,1.953,2.327,1.93,1.294,1.527,1.867,1.772,1.4,1.353,1.476,1.299,1.113,2.199,1.947,2.274,1.817,1.757,3.181,3.117,2.393,3.08,2.125,2.037,0.576,3.348,3.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,TSHE,M,01N,A,01N-A,WA-TSHE-M-1N-A,,,2013,0,0,0,0,0,45,RINGWIDTH,1,WA-TSHE-M-1N-BOTH.tif,3/4/14 19:00,                   ,,3386 9432 8 RGB,Intr 0.021101 0.021161 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],728.0000 9232.0000 568.0000 216.0000  2.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,190.8211,3.236,0.359,0.697,1.097,0.443,0.846,0.718,0.948,0.43,46.628,9.09,9.143,2.596,3.488,2.936,3.132,10.16,6.955,4.548,4.88,5.394,3.695,4.5,3.891,2.02,4.019,2.425,2.767,5.168,2.172,6.242,3.562,2.127,0.232,2.567,2.227,1.091,2.142,1.614,1.28,3.361,3.807,3.189,3.302,2.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
