Year,ID1,ID2,Latitude,Longitude,Elevation,TmaxAn,TminAn,TaveAn,TaveWin,TaveGS,PPTGS,PPTAn,PPTWin,DD5_An,NFFDGS,NFFDAn,PASAn,ErefGS,CMDGS,CMDAn
1978,CO,PIPO-L,37.4044,-108.3171,2279,29.4,-9.4,7.7,1.45,13.95,187,519,332,1900,150,182,108,812,622,668
1979,CO,PIPO-L,37.4044,-108.3171,2279,28.4,-13.7,6.6,-0.883333333,14.08333333,157,602,445,1929,150,180,240,808,651,671
1980,CO,PIPO-L,37.4044,-108.3171,2279,29.1,-8.7,7.275,0.466666667,14.08333333,213,514,301,1937,146,174,150,808,594,641
1981,CO,PIPO-L,37.4044,-108.3171,2279,27.8,-8.5,8.541666667,2.05,15.03333333,282,465,183,2055,159,186,53,801,519,600
1982,CO,PIPO-L,37.4044,-108.3171,2279,28,-11.3,7.391666667,0.633333333,14.15,270,562,292,1911,152,187,104,776,506,513
1983,CO,PIPO-L,37.4044,-108.3171,2279,28.2,-8.8,7.191666667,0.533333333,13.85,280,609,329,1865,144,171,137,770,493,534
1984,CO,PIPO-L,37.4044,-108.3171,2279,28.8,-12.6,7.516666667,0.25,14.78333333,247,522,275,2066,153,183,118,806,559,618
1985,CO,PIPO-L,37.4044,-108.3171,2279,28.3,-9.8,7.375,0.15,14.6,267,605,338,1908,154,185,97,823,556,557
1986,CO,PIPO-L,37.4044,-108.3171,2279,27.6,-9.3,8.025,2.016666667,14.03333333,365,614,249,1928,152,189,56,779,412,477
1987,CO,PIPO-L,37.4044,-108.3171,2279,28,-10.1,7.458333333,0.483333333,14.43333333,225,527,302,1913,153,184,107,823,599,602
1988,CO,PIPO-L,37.4044,-108.3171,2279,28.4,-12.3,7.458333333,0.183333333,14.73333333,218,506,288,2028,151,180,108,812,594,641
1989,CO,PIPO-L,37.4044,-108.3171,2279,30,-12.5,8.266666667,1.1,15.43333333,137,370,233,2190,158,193,96,872,735,841
1990,CO,PIPO-L,37.4044,-108.3171,2279,28.9,-11.4,8.025,0.8,15.25,301,438,137,2092,158,185,48,832,530,632
1991,CO,PIPO-L,37.4044,-108.3171,2279,27.5,-13.6,6.9,-0.316666667,14.11666667,223,497,274,1922,148,175,123,792,567,587
1992,CO,PIPO-L,37.4044,-108.3171,2279,26.4,-12.3,7.766666667,0.566666667,14.96666667,257,574,317,2057,166,199,104,809,554,585
1993,CO,PIPO-L,37.4044,-108.3171,2279,28.2,-11.1,7.183333333,0.65,13.71666667,192,476,284,1882,150,184,122,786,595,666
1994,CO,PIPO-L,37.4044,-108.3171,2279,28.7,-11.5,7.7,0.033333333,15.36666667,255,449,194,2105,162,190,79,815,561,632
1995,CO,PIPO-L,37.4044,-108.3171,2279,27,-8.7,7.55,1.333333333,13.76666667,243,574,331,1845,152,187,96,757,512,532
1996,CO,PIPO-L,37.4044,-108.3171,2279,29,-10,8.466666667,1.666666667,15.26666667,241,447,206,2115,159,187,67,823,582,684
1997,CO,PIPO-L,37.4044,-108.3171,2279,27.2,-8.6,7.475,1.233333333,13.71666667,237,489,252,1864,148,181,75,782,546,572
1998,CO,PIPO-L,37.4044,-108.3171,2279,28,-10.2,7.35,0.633333333,14.06666667,275,524,249,1899,146,168,97,808,536,558
1999,CO,PIPO-L,37.4044,-108.3171,2279,27,-11.4,7.366666667,1.733333333,13,272,500,228,1752,142,171,63,768,494,528
2000,CO,PIPO-L,37.4044,-108.3171,2279,29.4,-10,8.875,2.116666667,15.63333333,150,405,255,2186,160,189,61,861,711,754
2001,CO,PIPO-L,37.4044,-108.3171,2279,28.2,-10.3,7.958333333,0.516666667,15.4,203,466,263,2108,157,186,83,849,646,647
2002,CO,PIPO-L,37.4044,-108.3171,2279,29.8,-11.1,8.216666667,0.95,15.48333333,199,413,214,2152,161,191,65,854,655,706
2003,CO,PIPO-L,37.4044,-108.3171,2279,31.6,-8,8.408333333,1.516666667,15.3,155,431,276,2096,155,184,76,839,684,711
2004,CO,PIPO-L,37.4044,-108.3171,2279,28.3,-11,7.783333333,1.183333333,14.38333333,184,478,294,2029,155,193,96,813,627,662
2005,CO,PIPO-L,37.4044,-108.3171,2279,28.9,-9.3,7.625,0.916666667,14.33333333,189,476,287,1933,150,183,86,807,618,637
2006,CO,PIPO-L,37.4044,-108.3171,2279,28.7,-9.3,8.2,1.6,14.8,290,574,284,2033,157,189,79,820,530,530
2007,CO,PIPO-L,37.4044,-108.3171,2279,29.5,-12.6,7.95,0.666666667,15.23333333,257,540,283,2087,152,180,89,841,582,607
2008,CO,PIPO-L,37.4044,-108.3171,2279,28.6,-12.2,7.183333333,0.25,14.11666667,183,385,202,1927,143,169,106,811,627,727
2009,CO,PIPO-L,37.4044,-108.3171,2279,29.5,-10.6,8.033333333,1.433333333,14.63333333,162,453,291,2024,154,183,84,823,660,698
2010,CO,PIPO-L,37.4044,-108.3171,2279,28.7,-14.2,6.991666667,-0.75,14.73333333,192,477,285,1969,150,172,138,805,614,637
2011,CO,PIPO-L,37.4044,-108.3171,2279,29,-12,7.933333333,1.033333333,14.83333333,199,407,208,2075,150,187,60,811,613,673
1901,CO,PIPO-M,37.4338,-108.2804,2467,28.3,-11.4,7.422222222,#REF!,12.33333333,183,253,70,1470,126,130,59,784,605,605
1902,CO,PIPO-M,37.4338,-108.2804,2467,27.5,-10.7,7,0.633333333,13.36666667,224,390,166,1769,146,174,68,818,595,648
1903,CO,PIPO-M,37.4338,-108.2804,2467,26.5,-13,5.566666667,-1.233333333,12.36666667,298,549,251,1587,147,175,162,730,432,471
1904,CO,PIPO-M,37.4338,-108.2804,2467,25.9,-12.9,6.75,0.783333333,12.71666667,233,340,107,1652,147,174,35,758,526,642
1905,CO,PIPO-M,37.4338,-108.2804,2467,26.2,-10.5,5.758333333,-0.55,12.06666667,244,604,360,1509,139,164,179,746,502,540
1906,CO,PIPO-M,37.4338,-108.2804,2467,24.3,-12.9,5.566666667,-0.666666667,11.8,280,567,287,1449,140,161,152,728,447,506
1907,CO,PIPO-M,37.4338,-108.2804,2467,25.8,-7.3,6.55,1.533333333,11.56666667,307,668,361,1444,136,167,111,718,411,451
1908,CO,PIPO-M,37.4338,-108.2804,2467,25.9,-10.1,5.725,-0.166666667,11.61666667,308,586,278,1464,130,161,155,735,427,471
1909,CO,PIPO-M,37.4338,-108.2804,2467,26.4,-11.6,5.383333333,-1.216666667,11.98333333,297,666,369,1475,133,149,209,730,432,432
1910,CO,PIPO-M,37.4338,-108.2804,2467,27.3,-15.4,6.2,-1.083333333,13.48333333,153,409,256,1782,148,173,165,800,648,744
1911,CO,PIPO-M,37.4338,-108.2804,2467,24.9,-8.6,6.733333333,1.083333333,12.38333333,325,771,446,1590,146,180,140,727,403,403
1912,CO,PIPO-M,37.4338,-108.2804,2467,24.6,-12.2,5.108333333,-1.266666667,11.48333333,185,439,254,1406,131,155,101,723,538,538
1913,CO,PIPO-M,37.4338,-108.2804,2467,26,-13.3,5.1,-2.2,12.4,221,461,240,1529,142,159,144,755,534,556
1914,CO,PIPO-M,37.4338,-108.2804,2467,24.7,-12.2,5.875,-0.966666667,12.71666667,208,499,291,1580,153,176,143,739,532,587
1915,CO,PIPO-M,37.4338,-108.2804,2467,24.6,-13.1,5.033333333,-1.4,11.46666667,257,529,272,1389,138,162,164,717,460,494
1916,CO,PIPO-M,37.4338,-108.2804,2467,25.2,-9.7,6.075,0.283333333,11.86666667,227,512,285,1494,131,153,130,748,521,590
1917,CO,PIPO-M,37.4338,-108.2804,2467,26.9,-13.3,4.6,-2.4,11.6,195,408,213,1439,132,152,128,739,544,544
1918,CO,PIPO-M,37.4338,-108.2804,2467,26.3,-12.1,6.5,0.716666667,12.28333333,243,432,189,1611,136,158,95,750,506,616
1919,CO,PIPO-M,37.4338,-108.2804,2467,26.2,-15.7,5.325,-2.516666667,13.16666667,288,552,264,1685,151,174,191,762,475,505
1920,CO,PIPO-M,37.4338,-108.2804,2467,26.3,-10,5.466666667,-0.466666667,11.4,249,589,340,1410,135,152,173,736,487,487
1921,CO,PIPO-M,37.4338,-108.2804,2467,25.5,-11.3,6.05,0.066666667,12.03333333,251,411,160,1513,136,159,57,738,488,530
1922,CO,PIPO-M,37.4338,-108.2804,2467,26.6,-13.5,5.958333333,-0.45,12.36666667,164,435,271,1644,138,164,158,762,596,649
1923,CO,PIPO-M,37.4338,-108.2804,2467,26.2,-10.5,5.758333333,-0.416666667,11.93333333,268,519,251,1500,136,156,137,741,473,531
1924,CO,PIPO-M,37.4338,-108.2804,2467,26.5,-15.3,5.591666667,-1.283333333,12.46666667,150,368,218,1548,137,154,137,791,640,677
1925,CO,PIPO-M,37.4338,-108.2804,2467,26.5,-15.5,5.791666667,-1.166666667,12.75,314,523,209,1608,150,168,113,746,433,488
1926,CO,PIPO-M,37.4338,-108.2804,2467,25.2,-12.7,5.391666667,-1.183333333,11.96666667,283,499,216,1456,142,161,95,723,439,445
1927,CO,PIPO-M,37.4338,-108.2804,2467,24.6,-12.5,5.375,-0.5,11.25,287,560,273,1380,136,158,157,699,421,459
1928,CO,PIPO-M,37.4338,-108.2804,2467,26.2,-14.5,5.183333333,-1.333333333,11.7,177,419,242,1446,134,154,140,740,563,594
1929,CO,PIPO-M,37.4338,-108.2804,2467,26.9,-13,4.508333333,-2.816666667,11.83333333,344,680,336,1488,132,150,218,743,398,398
1930,CO,PIPO-M,37.4338,-108.2804,2467,25.6,-14.2,5.875,-0.933333333,12.68333333,271,471,200,1592,136,156,125,786,516,549
1931,CO,PIPO-M,37.4338,-108.2804,2467,27.5,-13.5,6.116666667,-0.833333333,13.06666667,248,435,187,1653,140,152,91,791,543,598
1932,CO,PIPO-M,37.4338,-108.2804,2467,26.1,-16.1,5.158333333,-1.933333333,12.25,301,632,331,1550,132,154,192,773,473,477
1933,CO,PIPO-M,37.4338,-108.2804,2467,27.1,-17.3,4.783333333,-2.616666667,12.18333333,278,477,199,1581,130,145,169,766,488,582
1934,CO,PIPO-M,37.4338,-108.2804,2467,27.7,-9.3,7.683333333,1.95,13.41666667,199,403,204,1810,144,175,54,809,609,709
1935,CO,PIPO-M,37.4338,-108.2804,2467,24.5,-9.2,5.483333333,-0.516666667,11.48333333,286,614,328,1458,133,153,227,714,428,493
1936,CO,PIPO-M,37.4338,-108.2804,2467,24.8,-11.6,5.516666667,-1.7,12.73333333,263,490,227,1582,142,157,126,755,492,513
1937,CO,PIPO-M,37.4338,-108.2804,2467,26.5,-18.7,5.283333333,-1.866666667,12.43333333,208,537,329,1579,135,153,205,788,580,608
1938,CO,PIPO-M,37.4338,-108.2804,2467,25.7,-10.1,5.925,-0.05,11.9,238,533,295,1494,136,157,163,742,504,569
1939,CO,PIPO-M,37.4338,-108.2804,2467,25.9,-14.8,5.391666667,-1.916666667,12.7,190,479,289,1583,145,163,163,768,575,582
1940,CO,PIPO-M,37.4338,-108.2804,2467,27.2,-11.7,6.233333333,-0.616666667,13.08333333,295,555,260,1664,149,166,164,776,482,562
1941,CO,PIPO-M,37.4338,-108.2804,2467,24.9,-10,5.75,0.233333333,11.26666667,341,765,424,1431,140,165,216,700,368,384
1942,CO,PIPO-M,37.4338,-108.2804,2467,25.8,-12.6,5.25,-1.366666667,11.86666667,137,448,311,1444,133,154,157,757,620,634
1943,CO,PIPO-M,37.4338,-108.2804,2467,26.1,-11,6.45,0.2,12.7,269,589,320,1594,139,161,144,767,498,538
1944,CO,PIPO-M,37.4338,-108.2804,2467,25.4,-11.5,5.25,-0.8,11.3,238,531,293,1408,132,150,178,737,501,516
1945,CO,PIPO-M,37.4338,-108.2804,2467,25.5,-11.8,5.55,-0.383333333,11.48333333,150,491,341,1485,125,152,212,736,586,618
1946,CO,PIPO-M,37.4338,-108.2804,2467,26.2,-14.8,5.933333333,-1.033333333,12.9,295,516,221,1645,146,169,114,767,472,486
1947,CO,PIPO-M,37.4338,-108.2804,2467,26.7,-13.6,6.075,-0.266666667,12.41666667,280,558,278,1550,141,158,100,750,471,496
1948,CO,PIPO-M,37.4338,-108.2804,2467,26.3,-11.4,5.491666667,-1.416666667,12.4,231,570,339,1562,140,163,182,774,545,545
1949,CO,PIPO-M,37.4338,-108.2804,2467,25.6,-15.1,5.091666667,-2.116666667,12.3,262,582,320,1521,140,156,196,757,496,496
1950,CO,PIPO-M,37.4338,-108.2804,2467,25,-12.1,5.766666667,-0.033333333,11.56666667,191,433,242,1404,124,141,102,764,572,619
1951,CO,PIPO-M,37.4338,-108.2804,2467,27.8,-10.8,6.575,0.9,12.25,227,404,177,1633,133,157,93,774,548,626
1952,CO,PIPO-M,37.4338,-108.2804,2467,25.3,-12.5,5.433333333,-1.9,12.76666667,204,545,341,1590,145,161,220,756,555,563
1953,CO,PIPO-M,37.4338,-108.2804,2467,25.9,-11.1,6.041666667,0.016666667,12.06666667,177,401,224,1569,132,150,130,747,568,656
1954,CO,PIPO-M,37.4338,-108.2804,2467,26.3,-12.2,6.941666667,0.583333333,13.3,270,550,280,1716,147,170,89,778,508,538
1955,CO,PIPO-M,37.4338,-108.2804,2467,25.3,-14.2,5.683333333,-0.583333333,11.95,232,449,217,1565,133,157,136,744,513,555
1956,CO,PIPO-M,37.4338,-108.2804,2467,26.1,-12,6.658333333,0.4,12.91666667,105,346,241,1692,141,161,95,806,702,814
1957,CO,PIPO-M,37.4338,-108.2804,2467,24.8,-12.9,5.891666667,0.1,11.68333333,350,584,234,1481,135,155,116,717,368,413
1958,CO,PIPO-M,37.4338,-108.2804,2467,27.1,-11.6,6.366666667,-0.266666667,13,171,577,406,1693,143,171,183,800,627,627
1959,CO,PIPO-M,37.4338,-108.2804,2467,27.1,-11.1,6.716666667,0.533333333,12.9,237,406,169,1674,143,163,71,779,542,618
1960,CO,PIPO-M,37.4338,-108.2804,2467,27.4,-13.5,6.2,-0.75,13.15,168,523,355,1692,138,157,154,811,642,669
1961,CO,PIPO-M,37.4338,-108.2804,2467,26.5,-13,6.283333333,0.05,12.51666667,233,548,315,1605,138,162,117,768,536,545
1962,CO,PIPO-M,37.4338,-108.2804,2467,26.5,-13.6,5.75,-1.3,12.8,169,419,250,1594,142,161,113,786,617,617
1963,CO,PIPO-M,37.4338,-108.2804,2467,27.4,-15.3,6.733333333,0.133333333,13.33333333,211,485,274,1780,147,174,101,774,563,580
1964,CO,PIPO-M,37.4338,-108.2804,2467,26.6,-14,5.683333333,-0.833333333,12.2,279,457,178,1622,140,166,111,734,456,483
1965,CO,PIPO-M,37.4338,-108.2804,2467,25.2,-11.4,5.533333333,-0.466666667,11.53333333,352,629,277,1463,139,158,185,696,341,418
1966,CO,PIPO-M,37.4338,-108.2804,2467,27,-13.6,6.566666667,-0.133333333,13.26666667,210,515,305,1760,144,167,112,788,578,627
1967,CO,PIPO-M,37.4338,-108.2804,2467,26.1,-12.9,6.316666667,0.5,12.13333333,242,432,190,1572,138,162,89,729,487,584
1968,CO,PIPO-M,37.4338,-108.2804,2467,24.8,-13.3,5.516666667,-0.366666667,11.4,224,442,218,1457,133,152,158,717,493,608
1969,CO,PIPO-M,37.4338,-108.2804,2467,25.9,-13.3,5.908333333,-1.216666667,13.03333333,265,611,346,1666,146,167,206,751,485,513
1970,CO,PIPO-M,37.4338,-108.2804,2467,26.2,-11.2,5.775,-0.366666667,11.91666667,262,531,269,1505,134,155,120,735,473,473
1971,CO,PIPO-M,37.4338,-108.2804,2467,27.1,-12.1,5.683333333,-0.883333333,12.25,288,467,179,1508,129,147,88,770,481,547
1972,CO,PIPO-M,37.4338,-108.2804,2467,27.3,-11.3,6.45,0.033333333,12.86666667,215,450,235,1642,138,159,95,788,572,636
1973,CO,PIPO-M,37.4338,-108.2804,2467,25.4,-14.5,4.9,-1.716666667,11.51666667,213,677,464,1474,130,160,250,739,526,526
1974,CO,PIPO-M,37.4338,-108.2804,2467,25.3,-13.9,6.141666667,-0.466666667,12.75,150,345,195,1660,138,158,107,791,642,725
1975,CO,PIPO-M,37.4338,-108.2804,2467,25.4,-13.4,5.016666667,-1.266666667,11.3,193,585,392,1444,127,151,208,729,537,537
1976,CO,PIPO-M,37.4338,-108.2804,2467,26.9,-12.7,6.216666667,-0.133333333,12.56666667,240,439,199,1594,141,156,92,769,528,586
1977,CO,PIPO-M,37.4338,-108.2804,2467,25.9,-14.8,6.191666667,-1.25,13.63333333,261,331,70,1734,143,154,50,785,524,615
1978,CO,PIPO-M,37.4338,-108.2804,2467,27.6,-10.3,6.566666667,0.666666667,12.46666667,207,584,377,1608,139,164,153,774,567,600
1979,CO,PIPO-M,37.4338,-108.2804,2467,26.7,-14.4,5.45,-1.683333333,12.58333333,169,662,493,1638,139,163,301,771,604,617
1980,CO,PIPO-M,37.4338,-108.2804,2467,27.4,-9.6,6.125,-0.333333333,12.58333333,235,575,340,1656,137,160,201,772,538,579
1981,CO,PIPO-M,37.4338,-108.2804,2467,26,-9.3,7.408333333,1.283333333,13.53333333,310,511,201,1753,149,170,76,767,456,498
1982,CO,PIPO-M,37.4338,-108.2804,2467,26.2,-12,6.216666667,-0.166666667,12.6,296,626,330,1616,142,170,141,741,446,449
1983,CO,PIPO-M,37.4338,-108.2804,2467,26.5,-9.8,6.025,-0.266666667,12.31666667,307,669,362,1589,136,155,192,736,428,464
1984,CO,PIPO-M,37.4338,-108.2804,2467,27,-13.3,6.358333333,-0.55,13.26666667,275,584,309,1776,146,171,169,769,495,543
1985,CO,PIPO-M,37.4338,-108.2804,2467,26.7,-10.7,6.241666667,-0.633333333,13.11666667,294,671,377,1623,145,169,142,786,495,495
1986,CO,PIPO-M,37.4338,-108.2804,2467,26,-10.3,6.866666667,1.183333333,12.55,402,680,278,1630,142,173,88,743,353,378
1987,CO,PIPO-M,37.4338,-108.2804,2467,26.3,-10.8,6.3,-0.3,12.9,247,584,337,1619,144,169,149,785,538,538
1988,CO,PIPO-M,37.4338,-108.2804,2467,26.7,-13,6.316666667,-0.616666667,13.25,243,564,321,1735,140,164,147,776,535,579
1989,CO,PIPO-M,37.4338,-108.2804,2467,28.3,-13.1,7.125,0.316666667,13.93333333,149,422,273,1883,148,177,130,833,684,778
1990,CO,PIPO-M,37.4338,-108.2804,2467,27.3,-12.1,6.883333333,0.033333333,13.73333333,329,483,154,1795,148,169,66,797,467,554
1991,CO,PIPO-M,37.4338,-108.2804,2467,25.8,-14.5,5.783333333,-1.033333333,12.6,245,549,304,1633,140,160,160,757,512,525
1992,CO,PIPO-M,37.4338,-108.2804,2467,24.7,-13,6.608333333,-0.216666667,13.43333333,275,627,352,1749,157,183,138,775,500,525
1993,CO,PIPO-M,37.4338,-108.2804,2467,26.5,-12,6.025,-0.133333333,12.18333333,210,531,321,1588,140,167,163,750,543,603
1994,CO,PIPO-M,37.4338,-108.2804,2467,27,-12.4,6.491666667,-0.816666667,13.8,277,492,215,1798,153,174,108,779,500,559
1995,CO,PIPO-M,37.4338,-108.2804,2467,25.4,-9.8,6.35,0.5,12.2,266,633,367,1544,142,169,141,720,455,463
1996,CO,PIPO-M,37.4338,-108.2804,2467,27.2,-10.8,7.258333333,0.816666667,13.7,263,495,232,1799,151,172,95,786,522,610
1997,CO,PIPO-M,37.4338,-108.2804,2467,25.4,-9.5,6.3,0.433333333,12.16666667,260,540,280,1574,141,166,112,746,486,507
1998,CO,PIPO-M,37.4338,-108.2804,2467,26.3,-11.2,6.208333333,-0.133333333,12.55,299,578,279,1615,135,153,138,773,474,489
1999,CO,PIPO-M,37.4338,-108.2804,2467,25.3,-12.3,6.208333333,0.933333333,11.48333333,299,554,255,1467,129,152,92,732,432,454
2000,CO,PIPO-M,37.4338,-108.2804,2467,27.7,-11,7.725,1.35,14.1,163,448,285,1872,152,174,88,824,660,697
2001,CO,PIPO-M,37.4338,-108.2804,2467,26.4,-11,6.808333333,-0.25,13.86666667,220,511,291,1812,150,174,112,811,590,590
2002,CO,PIPO-M,37.4338,-108.2804,2467,28,-12,7.041666667,0.15,13.93333333,217,454,237,1846,151,175,86,817,600,626
2003,CO,PIPO-M,37.4338,-108.2804,2467,29.9,-9,7.233333333,0.716666667,13.75,168,479,311,1799,146,167,110,801,634,647
2004,CO,PIPO-M,37.4338,-108.2804,2467,26.6,-11.7,6.608333333,0.4,12.81666667,204,532,328,1729,145,174,130,777,573,592
2005,CO,PIPO-M,37.4338,-108.2804,2467,27.1,-10.3,6.475,0.133333333,12.81666667,207,530,323,1639,140,165,121,771,565,579
2006,CO,PIPO-M,37.4338,-108.2804,2467,27,-10.2,7.033333333,0.783333333,13.28333333,316,634,318,1728,147,173,112,784,468,468
2007,CO,PIPO-M,37.4338,-108.2804,2467,27.8,-13.2,6.8,-0.133333333,13.73333333,281,599,318,1789,143,166,123,804,521,540
2008,CO,PIPO-M,37.4338,-108.2804,2467,26.9,-12.9,6.008333333,-0.566666667,12.58333333,202,432,230,1632,133,154,142,775,573,660
2009,CO,PIPO-M,37.4338,-108.2804,2467,27.8,-11.3,6.85,0.633333333,13.06666667,178,506,328,1722,146,168,116,786,606,635
2010,CO,PIPO-M,37.4338,-108.2804,2467,27,-15.2,5.833333333,-1.566666667,13.23333333,210,529,319,1681,140,157,178,769,560,570
2011,CO,PIPO-M,37.4338,-108.2804,2467,27.4,-12.6,6.758333333,0.216666667,13.3,216,452,236,1779,141,171,86,776,559,599
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1995,40.9,24.9402,633,,,,,,,,
,,,,,,,,,1996,24.7,19.503,495,,,,,,,,
,,,,,,,,,1997,43.5,21.276,540,,,,,,,,
,,,,,,,,,1998,26.9,22.7732,578,,,,,,,,
,,,,,,,,,1999,39.9,21.8276,554,,,,,,,,
,,,,,,,,,2000,27.2,17.6512,448,,,,,,,,
,,,,,,,,,2001,29.9,20.1334,511,,,,,,,,
,,,,,,,,,2002,18.8,17.8876,454,,,,,,,,
,,,,,,,,,2003,31.2,18.8726,479,,,,,,,,
,,,,,,,,,2004,29.9,20.9608,532,,,,,,,,
,,,,,,,,,2005,38.3,20.882,530,,,,,,,,
,,,,,,,,,2006,30.7,24.9796,634,,,,,,,,
,,,,,,,,,2007,36.2,23.6006,599,,,,,,,,
,,,,,,,,,2008,31.9,17.0208,432,,,,,,,,
,,,,,,,,,2009,33.2,19.9364,506,,,,,,,,
,,,,,,,,,2010,32.9,20.8426,529,,,,,,,,
