State,Species,Elev,Tree,Core,TreeID,Tag,Path identification,Site identification,YearLastRing,Sapwood,Tree height,Tree age,SectionHeight,User variable,RingCount,DataType,OffsetToNext,ImageName,Analysis Date Time,Acquisition Date Time,Modified Date Time,ImageSizeH V NBits Channel,CalibMethod XCal YCal EditedDendro,ScannerCamera Make Model Software,LensFocLength [35mm],PathBegX BegY EndX EndY Width,RingBoundary AutoMan Meth Precise,EarlywoodDef,DensActive Media Calib,DensNSteps MatDens Interpol SampleThick,DensStepsThick,DensStepsLightInt,DensStepsWoodDens,DiskArea,DiskPerim,DiskAvgDiam,DiskFormCoef,CompWoodArea,VoidArea,PathLength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,C-T13,a,C-T13-a,POTR-H-C-T13-a,,,2014,0,0,0,0,0,81,RINGWIDTH,1,NotAFile,5/4/15 15:41,                   ,,2047 9077 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],324.0000 8201.0000 307.0000 396.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,164.2765,0.698,1.693,1.883,1.439,1.142,0.953,1.396,1.606,2.27,1.925,1.306,1.184,1.1,1.48,1.269,1.121,1.375,1.734,1.367,1.135,0.885,1.353,1.248,1.246,1.438,1.312,1.417,1.606,1.651,1.947,1.84,1.966,1.609,1.701,1.967,1.797,1.502,1.289,1.968,1.667,1.512,1.769,2.026,2.066,2.959,2.476,2.369,2.907,2.705,2.557,2.814,2.115,2.071,2.94,2.467,2.01,2.009,2.348,2.295,2.432,2.92,2.659,2.253,2.107,1.817,1.382,2.127,2.646,1.949,1.999,0.682,1.104,1.989,3.349,2.934,1.7,0.874,4.731,3.861,4.669,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,C-T13,b,C-T13-b,POTR-H-C-T13-b,,,2014,0,0,0,0,0,82,RINGWIDTH,1,NotAFile,5/4/15 15:41,                   ,,2047 9077 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1771.0000 7444.0000 1547.0000 529.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,146.4075,0.499,0.754,1,1.246,0.645,0.56,0.844,0.774,1.543,1.617,0.952,0.879,0.578,0.738,0.829,0.751,1.187,2.064,1.82,1.355,0.867,0.869,0.758,1.121,0.868,0.783,0.804,1.883,1.016,1.056,1.076,1.082,0.677,1.135,1.398,0.95,1.182,1.1,1.629,1.417,1.331,1.968,1.322,0.858,1.121,2.054,1.969,2.095,1.501,1.417,2.259,2.009,1.564,2.736,2.158,1.607,2.25,1.663,2.026,2.132,2.554,2.544,2.321,2.056,3.095,1.934,2.779,2.664,2.085,2.437,0.608,1.866,3.509,3.023,3.644,3.69,4.396,3.289,3.652,3.788,2.263,7.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,D-T6,a,D-T6-a,POTR-H-D-T6-a,,,2014,0,0,0,0,0,84,RINGWIDTH,1,NotAFile,5/4/15 16:02,                   ,,2047 9944 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],319.0000 5538.0000 254.0000 1055.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,94.8765,0.285,0.782,0.993,0.802,0.202,0.368,0.38,0.719,1.163,1.225,0.635,1.142,0.719,0.762,1.219,0.401,0.579,1.542,0.948,0.82,1.438,0.783,0.677,1.016,1.179,1.152,1.606,0.613,0.778,1.305,1.748,1.375,1.481,1.267,1.159,1.248,1.307,0.866,1.373,1.774,1.73,0.657,1.519,1.12,1.197,1.289,1.309,1.436,1.563,1.714,1.876,2.324,2.01,1.481,1.777,0.761,0.569,0.887,0.74,0.55,0.317,0.825,0.952,0.825,1.079,0.76,0.615,1.14,1.312,0.972,0.608,0.824,0.907,1.095,0.717,1.235,1.191,1.623,1.341,0.551,1.873,0.871,2.811,1.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,D-T6,b,D-T6-b,POTR-H-D-T6-b,,,2014,0,0,0,0,0,79,RINGWIDTH,1,NotAFile,5/4/15 16:02,                   ,,2047 9944 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1743.0000 5597.0000 1669.0000 324.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,111.595,0.695,1.746,1.491,1.068,0.337,0.538,0.794,0.76,1.354,1.67,1.669,1.797,1.292,1.147,1.248,1.09,1.242,1.035,1.48,0.868,1.093,1.351,1.481,1.396,1.362,1.072,1.319,0.986,0.765,1.501,1.712,1.402,1.734,1.46,1.46,1.714,1.798,1.39,1.373,1.283,1.29,1.773,1.417,1.554,1.671,2.094,1.463,1.582,1.644,1.153,1.882,2.749,1.696,1.94,0.772,0.547,0.935,1.015,1.093,0.846,0.987,0.588,1.118,1.509,1.232,0.497,0.794,1.267,1.99,0.486,0.429,0.827,0.641,1.493,1.52,0.987,1.286,2.543,2.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,D-T3,a,D-T3-a,POTR-H-D-T3-a,,,2014,0,0,0,0,0,84,RINGWIDTH,1,NotAFile,5/4/15 16:20,                   ,,2166 9510 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],302.0000 6807.0000 312.0000 397.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,135.6448,0.865,2.005,1.396,1.205,0.614,1.431,1.35,1.627,2.029,1.987,2.093,2.262,1.227,2.113,2.603,1.142,1.227,1.903,2.177,1.797,1.797,1.734,1.796,2.067,2.242,1.396,1.903,1.413,1.058,1.439,1.967,2.285,2.047,1.477,1.372,1.268,1.269,0.973,1.481,1.756,1.439,0.931,0.698,0.614,1.141,1.754,1.265,1.142,1.545,2.093,2.534,2.121,2.177,2.24,0.465,0.55,0.741,0.825,1.16,0.889,0.993,1.798,1.417,1.585,1.46,1.269,0.927,1.606,1.839,1.735,0.19,1.057,1.627,1.288,1.333,2.41,2.085,1.707,2.073,1.045,2.435,1.816,4.449,1.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,D-T3,b,D-T3-b,POTR-H-D-T3-b,,,2014,0,0,0,0,0,86,RINGWIDTH,1,NotAFile,5/4/15 16:20,                   ,,2166 9510 8 RGB,Intr 0.021101 0.021161 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],1818.0000 6633.0000 1829.0000 691.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,125.7413,0.529,1.502,1.015,0.761,0.444,0.761,1.354,2.116,2.367,2.053,1.437,2.114,1.459,1.776,1.897,0.677,1.249,1.648,1.94,1.533,1.564,2.073,1.925,2.624,2.79,1.984,1.501,1.375,1.116,1.946,2.242,2.214,1.905,1.608,1.481,1.649,1.604,0.824,1.247,1.138,1.1,1.396,0.868,0.614,1.097,1.185,1.163,1.481,1.354,1.396,1.629,1.227,0.844,1.056,0.762,0.76,1.015,1.142,1.058,1.016,1.287,1.099,1.29,1.034,0.868,0.466,0.825,1.499,1.733,0.824,1.076,1.1,0.907,2.624,1.651,1.839,2.099,1.098,2.163,1.815,3.313,3.15,1.455,0.825,0.812,1.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,E-T4,a,E-T4-a,POTR-H-E-T4-a,,,2014,0,0,0,0,0,116,RINGWIDTH,1,NotAFile,5/4/15 17:51,                   ,,2940 11053 8 RGB,Intr 0.015826 0.015871 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],509.0000 7066.0000 365.0000 524.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,103.2038,0.275,0.652,1.074,1.173,0.992,1.019,0.444,1.036,1.885,1.374,0.823,0.906,0.717,1.487,0.855,1.051,1.345,0.745,0.981,0.956,1.077,1.042,1.047,1.127,1.51,1.28,1.882,1.568,0.536,0.758,1.394,0.867,1.353,1.294,1.048,1.427,1.075,0.988,1.134,1.011,0.895,0.832,0.814,0.607,0.788,0.822,0.683,0.602,0.615,0.568,0.613,0.623,0.655,0.841,0.546,0.361,0.815,0.376,0.646,0.46,0.679,0.695,0.552,0.712,0.474,0.362,0.8,0.389,0.51,0.405,0.17,0.233,0.218,0.373,0.482,0.261,0.409,0.619,0.607,0.622,0.682,0.57,0.657,0.999,0.883,0.438,0.357,0.637,0.772,0.534,0.367,0.325,0.523,0.731,0.56,0.664,0.489,0.671,1.166,0.586,0.331,1.005,0.291,0.544,0.451,0.809,1.211,0.987,1.542,1.373,1.047,0.819,1.13,1.125,1.433,1.14,,,,,
CO,POTR,H,E-T4,b,E-T4-b,POTR-H-E-T4-b,,,2014,0,0,0,0,0,120,RINGWIDTH,1,NotAFile,5/4/15 17:51,                   ,,2940 11053 8 RGB,Intr 0.015826 0.015871 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],2446.0000 10827.0000 2325.0000 3790.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,111.701,0.395,0.967,1.244,1.472,0.937,0.919,0.334,0.809,1.492,1.54,1.098,1.874,1.349,1.708,1.206,1.077,1.425,1.221,1.598,1.777,1.603,1.603,1.46,1.729,2.063,1.286,0.857,0.807,0.998,1.356,1.673,1.118,0.99,1.936,1.636,1.301,1.114,0.933,1.344,0.857,1.078,0.658,0.678,0.997,0.987,0.758,0.745,0.904,0.83,0.783,0.663,0.919,0.364,0.769,0.549,0.428,0.556,0.3,0.696,0.603,0.729,0.746,0.984,0.507,0.189,0.449,1.182,0.732,0.332,0.364,0.254,0.207,0.159,0.284,0.618,0.334,0.254,0.27,0.476,0.793,0.76,0.556,0.381,0.481,0.487,0.68,0.719,0.629,0.555,0.746,0.666,0.427,0.54,1.365,1.214,0.569,0.67,0.759,0.917,0.777,0.27,0.461,0.604,0.871,1.206,0.889,0.872,1.238,1.221,1.175,1.126,0.793,1.063,0.887,1.421,1.744,1.514,1.993,1.936,0.667,
CO,POTR,H,E-T6,a,E-T6-a,POTR-H-E-T6-a,,,2014,0,0,0,0,0,94,RINGWIDTH,1,NotAFile,5/4/15 18:11,                   ,,3898 21424 8 RGB,Intr 0.010551 0.010581 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],661.0000 7576.0000 519.0000 552.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,74.1117,0.56,0.994,1.24,0.673,1.347,0.854,0.54,0.984,1.375,1.226,1.075,1.165,0.657,1.142,0.921,0.793,1.292,1.342,1.562,1.182,1.559,1.758,0.917,1.181,1.197,1.369,0.551,0.3,0.131,0.215,0.253,0.288,0.229,0.438,0.312,0.52,0.324,0.356,0.507,0.36,0.715,0.451,0.258,0.285,0.519,0.761,0.292,0.564,0.246,0.567,0.322,0.381,0.302,0.711,0.409,0.98,0.745,0.979,1.02,0.654,0.773,0.866,0.743,0.822,0.446,0.485,0.839,0.859,0.25,0.516,0.396,0.369,0.88,0.402,1.075,0.734,0.609,0.751,0.673,1.109,0.448,0.955,0.571,0.812,1.068,1.127,1.212,1.03,1.411,0.687,1.502,0.6,1.693,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,E-T6,b,E-T6-b,POTR-H-E-T6-b,,,2014,0,0,0,0,0,119,RINGWIDTH,1,NotAFile,5/4/15 18:11,                   ,,3898 21424 8 RGB,Intr 0.010551 0.010581 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],3335.0000 13196.0000 2971.0000 1921.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,119.3592,0.878,1.725,2.138,2.224,1.904,1.757,1.753,1.782,1.63,1.84,0.822,1.491,1.174,1.468,1.28,0.986,0.983,1.135,0.98,0.861,0.982,1.704,1.801,1.088,1.294,1.446,1.103,0.295,0.054,0.421,0.275,0.339,0.316,0.213,0.37,0.307,0.242,0.359,0.41,0.275,0.17,0.306,0.275,0.729,0.38,0.243,0.633,0.907,0.339,0.518,1.079,0.432,0.601,0.941,0.476,0.863,0.818,0.46,0.536,0.755,0.525,0.453,0.591,0.455,0.251,0.759,0.516,0.487,0.412,0.497,0.201,0.465,0.435,0.475,0.76,0.919,0.482,0.537,0.882,0.895,0.571,0.812,0.789,0.655,0.952,1.495,1.003,1.783,1.212,0.961,1.36,0.585,1.209,1.649,1.878,1.104,1.359,1.278,1.016,1.345,1.014,1.341,1.328,0.873,1.562,1.343,1.237,1.435,1.372,1.714,1.337,1.387,0.93,1.569,1.475,1.981,2.259,3.006,0.58,,
CO,POTR,H,E-T6,a,E-T6-a,POTR-H-E-T6-a,,,2014,0,0,0,0,0,94,RINGWIDTH,1,POTR-H-B-T05-BOTH.tif,5/4/15 18:13,                   ,,3898 21424 8 RGB,Intr 0.010551 0.010581 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],661.0000 7576.0000 519.0000 552.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,74.1117,0.56,0.994,1.24,0.673,1.347,0.854,0.54,0.984,1.375,1.226,1.075,1.165,0.657,1.142,0.921,0.793,1.292,1.342,1.562,1.182,1.559,1.758,0.917,1.181,1.197,1.369,0.551,0.3,0.131,0.215,0.253,0.288,0.229,0.438,0.312,0.52,0.324,0.356,0.507,0.36,0.715,0.451,0.258,0.285,0.519,0.761,0.292,0.564,0.246,0.567,0.322,0.381,0.302,0.711,0.409,0.98,0.745,0.979,1.02,0.654,0.773,0.866,0.743,0.822,0.446,0.485,0.839,0.859,0.25,0.516,0.396,0.369,0.88,0.402,1.075,0.734,0.609,0.751,0.673,1.109,0.448,0.955,0.571,0.812,1.068,1.127,1.212,1.03,1.411,0.687,1.502,0.6,1.693,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,E-T6,b,E-T6-b,POTR-H-E-T6-b,,,2014,0,0,0,0,0,119,RINGWIDTH,1,POTR-H-B-T05-BOTH.tif,5/4/15 18:13,                   ,,3898 21424 8 RGB,Intr 0.010551 0.010581 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],3335.0000 13196.0000 2971.0000 1921.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,119.3592,0.878,1.725,2.138,2.224,1.904,1.757,1.753,1.782,1.63,1.84,0.822,1.491,1.174,1.468,1.28,0.986,0.983,1.135,0.98,0.861,0.982,1.704,1.801,1.088,1.294,1.446,1.103,0.295,0.054,0.421,0.275,0.339,0.316,0.213,0.37,0.307,0.242,0.359,0.41,0.275,0.17,0.306,0.275,0.729,0.38,0.243,0.633,0.907,0.339,0.518,1.079,0.432,0.601,0.941,0.476,0.863,0.818,0.46,0.536,0.755,0.525,0.453,0.591,0.455,0.251,0.759,0.516,0.487,0.412,0.497,0.201,0.465,0.435,0.475,0.76,0.919,0.482,0.537,0.882,0.895,0.571,0.812,0.789,0.655,0.952,1.495,1.003,1.783,1.212,0.961,1.36,0.585,1.209,1.649,1.878,1.104,1.359,1.278,1.016,1.345,1.014,1.341,1.328,0.873,1.562,1.343,1.237,1.435,1.372,1.714,1.337,1.387,0.93,1.569,1.475,1.981,2.259,3.006,0.58,,
CO,POTR,H,B-T5,a,B-T5-a,POTR-H-B-T5-A,,,2014,0,0,0,0,0,84,RINGWIDTH,1,NotAFile,5/4/15 18:30,                   ,,4135 9806 8 RGB,Intr 0.010551 0.010581 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],545.0000 9392.0000 450.0000 5236.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,43.9848,0.17,0.702,0.516,0.563,0.651,0.537,0.529,0.603,0.694,0.677,0.423,0.525,0.381,0.592,0.592,0.444,0.599,0.623,0.526,0.452,0.65,0.686,0.505,0.586,0.588,0.437,0.367,0.366,0.432,0.542,0.718,0.509,0.494,0.702,0.677,0.634,0.654,0.506,0.695,0.703,0.861,0.673,0.515,0.529,0.419,0.495,0.423,0.443,0.213,0.364,0.482,0.322,0.367,0.385,0.322,0.537,0.559,0.52,0.424,0.376,0.446,0.501,0.455,0.595,0.364,0.46,0.464,0.332,0.419,0.323,0.388,0.417,0.321,0.452,0.38,0.469,0.59,0.455,0.589,0.788,0.464,0.508,0.323,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,B-T5,b,B-T5-b,POTR-H-B-T5-B,,,2014,0,0,0,0,0,56,RINGWIDTH,1,NotAFile,5/4/15 18:30,                   ,,4135 9806 8 RGB,Intr 0.010551 0.010581 N,EPSON EPSON Flatbed Scanner EPSON Perfection V700/V750 1.8 V3.24 3.24,0.0 [0],3494.0000 7007.0000 3646.0000 228.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,71.7445,0.328,0.785,0.6,0.838,0.867,0.875,1.325,1.386,1.391,1.394,0.881,1.04,1.033,1.201,1.249,0.834,1.344,1.339,1.186,0.702,1.157,1.504,0.908,0.912,0.99,0.876,0.99,0.711,0.82,1.257,1.356,1.753,1.195,1.212,1.256,1.34,1.009,1.078,1.312,1.372,1.392,0.913,1.161,1.425,1.844,2.362,1.739,1.502,2.167,1.351,2.222,2.229,0.811,1.492,0.388,0.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,E-T6,a,E-T6-a,POTR-H-E-T6-a,,,2014,0,0,0,0,0,94,RINGWIDTH,1,POTR-H-E-T6-BOTH.tif,5/4/15 18:33,                   ,,3898 21424 8 RGB,Intr 0.010551 0.010581 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],661.0000 7576.0000 519.0000 552.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,74.1117,0.56,0.994,1.24,0.673,1.347,0.854,0.54,0.984,1.375,1.226,1.075,1.165,0.657,1.142,0.921,0.793,1.292,1.342,1.562,1.182,1.559,1.758,0.917,1.181,1.197,1.369,0.551,0.3,0.131,0.215,0.253,0.288,0.229,0.438,0.312,0.52,0.324,0.356,0.507,0.36,0.715,0.451,0.258,0.285,0.519,0.761,0.292,0.564,0.246,0.567,0.322,0.381,0.302,0.711,0.409,0.98,0.745,0.979,1.02,0.654,0.773,0.866,0.743,0.822,0.446,0.485,0.839,0.859,0.25,0.516,0.396,0.369,0.88,0.402,1.075,0.734,0.609,0.751,0.673,1.109,0.448,0.955,0.571,0.812,1.068,1.127,1.212,1.03,1.411,0.687,1.502,0.6,1.693,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,POTR,H,E-T6,b,E-T6-b,POTR-H-E-T6-b,,,2014,0,0,0,0,0,119,RINGWIDTH,1,POTR-H-E-T6-BOTH.tif,5/4/15 18:33,                   ,,3898 21424 8 RGB,Intr 0.010551 0.010581 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],3335.0000 13196.0000 2971.0000 1921.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,119.3592,0.878,1.725,2.138,2.224,1.904,1.757,1.753,1.782,1.63,1.84,0.822,1.491,1.174,1.468,1.28,0.986,0.983,1.135,0.98,0.861,0.982,1.704,1.801,1.088,1.294,1.446,1.103,0.295,0.054,0.421,0.275,0.339,0.316,0.213,0.37,0.307,0.242,0.359,0.41,0.275,0.17,0.306,0.275,0.729,0.38,0.243,0.633,0.907,0.339,0.518,1.079,0.432,0.595,0.941,0.476,0.855,0.824,0.46,0.536,0.755,0.525,0.453,0.591,0.455,0.251,0.759,0.516,0.487,0.412,0.497,0.201,0.465,0.435,0.475,0.76,0.919,0.482,0.537,0.882,0.895,0.571,0.812,0.789,0.655,0.952,1.495,1.003,1.783,1.212,0.961,1.36,0.585,1.209,1.649,1.878,1.104,1.359,1.278,1.016,1.345,1.014,1.341,1.328,0.873,1.562,1.343,1.237,1.435,1.372,1.714,1.337,1.387,0.93,1.569,1.475,1.981,2.259,3.006,0.58,,
CO,POTR,H,A-T1,a,A-T1-a,POTR-H-A-T1-a,,,2014,0,0,0,0,0,95,RINGWIDTH,1,POTR-H-A-T01-BOTH.tif,5/15/15 18:48,                   ,,2966 11105 8 RGB,Intr 0.015826 0.015871 N,Regent Instruments Inc.  WinDENDRO Reg 2009b,0.0 [0],681.0000 10422.0000 485.0000 1094.0000  1.0000,Tg A Int Y,50%,N F Acq,12 1.2922 Lin 1.00,0.1630 0.3580 0.5650 0.7595 0.9735 1.1605 1.3575 1.5370 1.7370 1.9300 2.1280 2.3400 ,22 41 67 92 117 137 155 171 184 195 204 211 ,0.2106 0.4626 0.7301 0.9814 1.2580 1.4996 1.7542 1.9861 2.2446 2.4939 2.7498 3.0237 ,0,0,0,0,0,0,148.0777,0.9,0.662,0.853,1.013,0.933,0.883,0.886,0.641,1.062,0.965,0.87,1.012,0.665,0.635,0.809,0.681,1.126,0.921,1.008,1.097,1.031,1.009,0.938,1.603,1.426,0.952,0.57,0.899,0.825,1.442,1.12,1.206,0.708,0.882,1.37,1.197,1.237,1.214,0.943,0.888,1.103,1.579,1.407,1.746,1.707,0.982,1.555,2.694,1.418,1.967,2.901,1.779,0.997,1.354,0.405,1.227,1.129,1.008,0.719,0.768,0.844,0.953,0.855,0.646,0.475,0.752,1.651,1.35,1.229,0.815,0.623,0.745,0.645,0.534,1.372,1.518,2.283,2.199,1.235,2.451,1.516,1.391,1.847,1.66,1.85,2.204,2.597,3.12,2.292,3.44,4.376,2.901,3.344,4.571,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,
