,State,Species,Band,Pair,Comp,Tag,Lat,Long,Elev,Aspect,Slope,DBH,Bark,BAF,PIPO_L,PIPO_R,PIPO_G,POTR_L,POTR_R,POTR_G,PIEN_L,PIEN_R,PIEN_G,PSME_L,PSME_R,PSME_G,ABLA_L,ABLA_R,ABLA_G,PIED_L,PIED_R,PIED_G,QUGA_L,QUGA_R,QUGA_G,Jun_sp_L,Jun_sp_R,Jun_sp_G,BA_tot,BA_sameL,BA_sameLR,BA_sameRG,BA_same_all,BA_otherL,BA_otherLR,BA_otherRG,BA_other_all,BA_totL,BA_totR,BA_totG,PIPO_5,PIPO_5d,POTR_5,POTR_5d,PIEN_5,PIEN_5d,ABLA_5,ABLA_5d,PSME_5,PSME_5d,PIED_5,PIED_5d,QUGA_5,PIPU_5,PIPU_5d,Jun_sp_5,Jun_sp_5d,in5_tot,in5_L,in5_same,in5_sameL,in5_other,in5_otherL,N_Cr,Height,p_bot.of.canopy.,p_top.of.canopy.,p_base.ref.,dist,three_cams,Notes,pic_N,pic_S,PIPO_r1,PIPO_r2,PIPO_r3,PIPO_r4,PIPO_reg_dead,POTR_r1,POTR_r2,POTR_r3,POTR_r4,POTR_reg_dead,PSME_r1,PSME_r2,PSME_r3,PSME_r4,PSME_rdead,ABLA_r1,ABLA_r2,ABLA_r3,ABLA_r4,ABLA_rt,ABLA_rdead,PIEN_r1,PIEN_r2,PIEN_r3,PIEN_r4,PIEN_rt,PIEN_rdead,PIED_R1,PIED_r2,PIED_r3,PIED_r4,PIED_rdead,Jun_spR1,Jun_spr2,Jun_spr3,Jun_spr4,Jun_sprdead,other,BAI10yr
95,CO,PIPO,H,3,H,PIPO-H-3H,37.48592,108.2506,2673,S,3,64.3,3.6,10,1,0,0,0,1,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,10,10,0,10,40,50,40,80,50,10,30,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,5,5,0,0,5,5,6,25.56,45.5,133,-9,18,,originally entered into wrong spreadsheet and shifted,252,253,0,0,0,0,NA,8,21,5,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,1342.825423
96,CO,PIPO,H,3,L,PIPO-H-3L,37.48549,108.25059,2672,S,2,74.2,5.7,10,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10,10,0,10,20,20,10,30,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24.263,28,126,-1.7,19,,originally entered into wrong spreadsheet and shifted,254,255,0,0,0,0,NA,8,13,4,4,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,2135.135908
97,CO,PIPO,H,4,H,PIPO-H-4H,37.48365,108.2522,2668,S,2,60.3,5.9,10,9,0,0,1,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,90,90,0,90,60,60,20,80,150,0,20,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,9,7,0,0,9,7,4,23.834,50.5,128,-12.2,17,,originally entered into wrong spreadsheet and shifted,264,265,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,1192.660161
98,CO,PIPO,H,4,L,PIPO-H-4L,37.48371,108.25212,2666,SSE,5,59.2,3.8,10,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,50,50,0,50,10,10,0,10,60,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,1,21.45,24,150,-15,13,,originally entered into wrong spreadsheet and shifted,266,267,0,0,0,0,NA,0,12,14,0,"2,2,2",0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,4363.025644
99,CO,PIPO,H,5,H,PIPO-H-5H,37.46877,108.22702,2699,WSW,4,51.3,3,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,0,50,0,0,0,0,50,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,4,4,1,1,5,22.27,31,123,-8,17,,,288,289,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,2139.189729
100,CO,PIPO,H,5,L,PIPO-H-5L,37.46886,108.22683,2692,WSW,4,56.9,4.2,5,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,35,35,0,35,5,5,0,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.431,7,105,-9.3,17,,,290,291,0,0,0,0,"2,",1,1,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,2860.510029
101,CO,PIPO,H,6,H,PIPO-H-6H,37.46813,108.22678,2689,SW,4,60.4,5,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,65,0,65,0,0,0,0,65,0,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,13,13,5,5,8,8,5,18.06,9,107,-13.4,15,,,292,293,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,507.4962004
102,CO,PIPO,H,6,L,PIPO-H-6L,37.4683,108.22658,2699,SW,5,53.8,4.3,5,4,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,65,20,20,0,20,25,15,20,45,45,0,20,0,0,3,4,0,0,0,0,0,0,0,0,2,0,0,0,0,9,5,0,0,9,5,0,14.532,38,106,-15.1,12,,2 dead aspen crowns touching,294,295,0,0,0,0,NA,0,2,0,0,"2,",0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,2880.819685
103,CO,PIPO,H,7,H,PIPO-H-7H,37.46772,108.22676,2681,SW,2,53.2,3,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,80,0,80,0,0,0,0,80,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,5,23.536,50.7,138,-9.1,16,,,296,297,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,1258.673546
104,CO,PIPO,H,7,L,PIPO-H-7L,37.46781,108.22659,2688,SW,2,49.1,4,5,7,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,35,35,0,35,5,15,10,15,40,10,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,2,4,2,0,18.448,14.4,101,-14.3,16,,,298,299,0,0,0,1,NA,0,0,0,1,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,1624.670513
105,CO,PIPO,H,8,H,PIPO-H-8H,37.46493,108.22893,2688,WSW,3,44.4,3.2,5,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,50,50,0,50,0,0,10,10,50,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,5,19.822,21.6,108,-8.6,17,,,300,301,0,0,0,0,NA,1,3,0,4,"1,2",0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,1810.06198
106,CO,PIPO,H,8,L,PIPO-H-8L,37.465,108.22871,2684,WSW,3,48.2,2.8,5,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,50,20,20,0,20,20,0,10,30,40,0,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,2,0,1,21.165,42.3,119,-5.5,17,,,302,303,0,0,0,0,NA,0,0,0,0,"4,",0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,3481.883812
107,CO,PIPO,H,9,H,PIPO-H-9H,37.46433,108.22867,2678,SW,2,48.8,3.6,5,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,100,100,0,100,0,0,5,5,100,0,5,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,12,12,1,0,7,25.534,36.4,140,-10.2,17,,,304,305,0,0,0,0,NA,1,9,0,0,"2,2,2,2,3,3,3,3",0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,1265.539613
108,CO,PIPO,H,9,L,PIPO-H-9L,37.46042,108.22877,2679,SW,2,57.3,3.3,5,11,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,55,55,0,55,0,0,25,25,55,0,25,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,4,0,2,18.955,16.7,105,-6.5,17,,1 dead aspen crown touching,306,307,0,0,0,0,NA,7,12,0,0,"1,3,2,2,2",0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,3033.303646
115,CO,PIPO,L,1,H,PIPO-L-01H,37.41583,108.33578,2292,SE,56,39,3,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,115,105,105,0,105,10,10,0,10,115,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0,4,20.57,22.4,88.8,-4.7,22,,,400,401,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,1009.168114
116,CO,PIPO,L,1,L,PIPO-L-01L,37.41592,108.33591,2294,SSE,3,38,3.7,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,0,50,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.006,5,68.8,-4.3,26,,,402,403,0,0,1,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,2,0,0,NA,0,0,0,0,NA,NA,427.1678167
133,CO,PIPO,L,10,H,PIPO-L-10H,37.39123,108.30937,2241,SW,5,38.3,3.9,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,60,30,30,0,30,25,25,5,30,55,0,5,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,7,6,2,2,5,4,3,14.611,15.5,65.9,-11,19,,private on burl guy's land,436,437,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,1,1,0,0,NA,NA,638.3817922
134,CO,PIPO,L,10,L,PIPO-L-10L,37.39138,108.30949,2245,SW,10,43.3,3.5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,35,25,25,0,25,10,10,0,10,35,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,2,2,1,1,2,14.62,4,56,-17.1,20,,private on burl guy's land,438,439,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,3,0,1,3,NA,1,1,2,0,NA,NA,790.7060765
117,CO,PIPO,L,2,H,PIPO-L-2H,37.41694,108.33577,2308,S,5,37.8,3.9,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,145,145,0,145,0,0,0,0,145,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,11,10,10,1,1,4,22.656,34.2,70.3,-0.5,32,,,404,405,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,523.8227519
118,CO,PIPO,L,2,L,PIPO-L-2L,37.41686,108.3058,2302,S,5,39.8,3.5,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,125,0,125,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.262,29,77.9,-1.5,23,,,406,407,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,564.4101425
119,CO,PIPO,L,3,H,PIPO-L-3H,37.41505,108.33302,2298,SSW,6,46.8,3.8,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,0,130,0,0,0,0,130,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,3,3,1,1,4,23.98,24.2,92.2,-16.8,22,,,408,409,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,4,NA,789.6781608
120,CO,PIPO,L,3,L,PIPO-L-3L,37.41505,108.33302,2304,SSW,10,53.5,3.3,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,90,0,90,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.071,29,104,-13.7,23,,,410,411,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,1276.530614
121,CO,PIPO,L,4,H,PIPO-L-4H,37.41517,108.33176,2298,SSW,15,35.5,2.7,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,170,160,160,0,160,10,10,0,10,170,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,9,8,8,1,1,4,18.879,42.4,85.5,-4.4,21,,,412,413,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,1,1,NA,0,0,0,0,NA,NA,585.3770428
122,CO,PIPO,L,4,L,PIPO-L-4L,37.41553,108.33155,2307,SSW,5,37.3,4.2,10,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,80,60,60,10,70,10,10,0,10,70,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,13.442,20,53.5,1.8,26,,,414,415,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,628.5912867
123,CO,PIPO,L,5,H,PIPO-L-5H,37.41538,108.31711,2336,W,2,46.9,3.7,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,120,0,120,0,0,0,0,120,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,4,25.126,51.1,72.9,-1,34,,,416,417,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,316.9948115
124,CO,PIPO,L,5,L,PIPO-L-5L,37.41556,108.31698,2336,SW,2,52.1,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,20,20,0,20,5,5,0,5,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,4,4,0,0,4,4,0,18.492,11.3,75.4,-5,23,,6 SCRUB OAK,418,419,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,2228.669598
125,CO,PIPO,L,6,H,PIPO-L-6H,37.39441,108.30241,2264,SSE,3,44.2,3.8,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,70,50,50,0,50,20,20,0,20,70,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,5,3,3,2,2,4,16.092,7.3,37.8,-6.9,36,,pirvate in subdivision,420,421,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,599.6790099
126,CO,PIPO,L,6,L,PIPO-L-6L,37.39445,108.30246,2256,SSE,2,43.4,2.4,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,55,45,45,0,45,10,10,0,10,55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,18.6,6.1,57,-5,30,,pirvate in subdivision,422,423,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,1,0,0,NA,NA,930.0678065
127,CO,PIPO,L,7,H,PIPO-L-7H,37.39498,108.3022,2266,SSE,3,43.8,3.5,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,130,120,120,0,120,10,10,0,10,130,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,7,6,6,1,1,5,19.78,61.6,92.3,-6.6,20,,pirvate in subdivision,424,425,0,0,0,0,4,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,1,0,0,0,NA,0,0,1,0,NA,NA,575.8514603
128,CO,PIPO,L,7,L,PIPO-L-7L,37.39492,108.30246,2259,S,2,47.9,4.7,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,40,20,20,0,20,20,20,0,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,2,2,1,16.722,10.4,91.3,-1.6,18,,pirvate in subdivision,426,427,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,4,NA,0,0,0,0,NA,NA,981.0475909
129,CO,PIPO,L,8,H,PIPO-L-8H,37.39215,108.30974,2246,SW,15,40.8,3.5,5,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,80,45,45,5,50,25,25,5,30,70,0,10,2,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,7,5,3,2,4,3,3,15.405,12.3,86,-16.7,15,,private on burl guy's land,428,429,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,3,3,3,0,0,0,0,NA,NA,373.0517815
130,CO,PIPO,L,8,L,PIPO-L-8L,37.3924,108.30983,2240,SW,10,46.5,3.5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,30,10,10,0,10,20,20,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,16.2,-3.4,40,-14,30,,private on burl guy's land,430,431,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,2,1,0,1,NA,1,1,0,0,NA,NA,1354.573235
