"","State","Species","Band","Pair","Comp","Tag","Lat","Long","Elev","Aspect","Slope","DBH","Bark","BAF","PIPO_L","PIPO_R","PIPO_G","POTR_L","POTR_R","POTR_G","PIEN_L","PIEN_R","PIEN_G","PSME_L","PSME_R","PSME_G","ABLA_L","ABLA_R","ABLA_G","PIED_L","PIED_R","PIED_G","QUGA_L","QUGA_R","QUGA_G","Jun_sp_L","Jun_sp_R","Jun_sp_G","BA_tot","BA_sameL","BA_sameLR","BA_sameRG","BA_same_all","BA_otherL","BA_otherLR","BA_otherRG","BA_other_all","BA_totL","BA_totR","BA_totG","PIPO_5","PIPO_5d","POTR_5","POTR_5d","PIEN_5","PIEN_5d","ABLA_5","ABLA_5d","PSME_5","PSME_5d","PIED_5","PIED_5d","QUGA_5","PIPU_5","PIPU_5d","Jun_sp_5","Jun_sp_5d","in5_tot","in5_L","in5_same","in5_sameL","in5_other","in5_otherL","N_Cr","p_bot.of.canopy.","p_top.of.canopy.","p_base.ref.","dist","three_cams","Notes","pic_N","pic_S","PIPO_r1","PIPO_r2","PIPO_r3","PIPO_r4","PIPO_reg_dead","POTR_r1","POTR_r2","POTR_r3","POTR_r4","POTR_reg_dead","PSME_r1","PSME_r2","PSME_r3","PSME_r4","PSME_rdead","ABLA_r1","ABLA_r2","ABLA_r3","ABLA_r4","ABLA_rt","ABLA_rdead","PIEN_r1","PIEN_r2","PIEN_r3","PIEN_r4","PIEN_rt","PIEN_rdead","PIED_R1","PIED_r2","PIED_r3","PIED_r4","PIED_rdead","Jun_spR1","Jun_spr2","Jun_spr3","Jun_spr4","Jun_sprdead","other","BAI10yr"
"128","CO","PIPO","L","7","L","PIPO-L-7L",37.39492,108.30246,2259,"S",2,47.9,4.7,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,40,20,20,0,20,20,20,0,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,2,2,1,10.4,91.3,-1.6,18,"","pirvate in subdivision",426,427,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,4,NA,0,0,0,0,NA,NA,1018.96809823783
"129","CO","PIPO","L","8","H","PIPO-L-8H",37.39215,108.30974,2246,"SW",15,40.8,3.5,5,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,80,45,45,5,50,25,25,5,30,70,0,10,2,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,7,5,3,2,4,3,3,12.3,86,-16.7,15,"","private on burl guy's land",428,429,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,3,3,3,0,0,0,0,NA,NA,388.898317247126
"130","CO","PIPO","L","8","L","PIPO-L-8L",37.3924,108.30983,2240,"SW",10,46.5,3.5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,30,10,10,0,10,20,20,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,-3.4,40,-14,30,"","private on burl guy's land",430,431,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,2,1,0,1,NA,1,1,0,0,NA,NA,1437.58120077925
"131","CO","PIPO","L","9","H","PIPO-L-9H",37.39235,108.30912,2250,"SSE",3,33.8,3,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,80,70,70,0,70,10,10,0,10,80,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,6,5,5,1,1,4,25.2,69.7,-5.7,20,"","private on burl guy's land",432,433,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,2,3,0,NA,0,1,1,0,NA,NA,512.373650580967
"132","CO","PIPO","L","9","L","PIPO-L-9L",37.39223,108.30914,2249,"S",2,37.5,2.9,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,55,30,30,0,30,25,25,0,25,55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,5,5,0,0,5,5,2,13.7,71,-2.1,18,"","private on burl guy's land",434,435,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,2,1,0,NA,0,1,0,1,NA,NA,639.399199440771
"136","CO","PIPO","M","01","H","PIPO-M-01H",37.44,108.27736,2483,"WSW",7,57.3,3.5,5,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,135,135,0,135,0,0,5,5,135,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,5,47.6,109,-0.8,26,"y","",NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,1879.83222874047
"135","CO","PIPO","M","01","L","PIPO-M-01L",37.44002,108.27715,2484,"WSW",10,53.8,5,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,120,0,120,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31.1,71.9,1.1,42,"y","",NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,1352.0201522315
"153","CO","PIPO","M","10","H","PIPO-M-10H",37.42549,108.28567,2431,"WSW",8,33.4,3,10,27,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,270,270,20,290,0,0,0,0,270,0,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,0,0,7,74.8,95.5,-0.9,22,"n","",NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,833.648671602312
"154","CO","PIPO","M","10","L","PIPO-M-10L",37.42528,108.28574,2425,"WSW",10,36.8,3.3,10,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,90,90,20,110,0,0,0,0,90,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7,63.1,-12.4,22,"n","",NA,NA,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,445.410953771435
"138","CO","PIPO","M","2","H","PIPO-M-2H",37.439067,108.27669,2495,"S",7,47,4.6,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,130,130,0,130,0,0,0,0,130,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,4,63.4,107,2.9,26,"y","",NA,NA,0,0,4,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,1198.46226478726
